AffixName|AffixID|Type1|Property1|T1|T2|T3|T4|T5|T6|T7|Type2|Property2|MT1|MT2|MT3|MT4|MT5|MT6|MT7
Acolyte Shared Increased Fire Damage|404|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.41|0.42-0.46|0.47-0.6|0.7-0.85|0.86-1.1|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.41|0.42-0.46|0.47-0.6|0.7-0.85|0.86-1.1
Acolyte Shared Increased Necrotic Damage|405|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1
Acolyte Shared Bleed Chance|406|ADDED|AilmentChance|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.45|0.55-0.65|0.66-0.85|ADDED|AilmentChance|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.45|0.55-0.65|0.66-0.85
Acolyte Shared Increased Bleed Duration|407|ADDED|IncreasedAilmentDuration|0.16-0.17|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.28|0.34-0.4|0.41-0.5|ADDED|IncreasedAilmentDuration|0.16-0.17|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.28|0.34-0.4|0.41-0.5
Acolyte Shared Physical Penetration With Bleed|408|ADDED|IncreasedAilmentEffect|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.23|0.28-0.34|0.35-0.42|ADDED|IncreasedAilmentEffect|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.23|0.28-0.34|0.35-0.42
Acolyte Shared Physical Leech|409|ADDED|HealthLeech|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.18|0.22-0.28|0.29-0.36|ADDED|HealthLeech|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.18|0.22-0.28|0.29-0.36
Acolyte Poison Damage And Poison Resistance|414|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|ADDED|PoisonResistance|0.1-0.11|0.12-0.14|0.15-0.17|0.18-0.2|0.21-0.25|0.28-0.32|0.33-0.4
Acolyte Shared Increased Crit Chance|416|INCREASED|CriticalChance|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.8|1-1.2|1.21-1.5|INCREASED|CriticalChance|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.8|1-1.2|1.21-1.5
Acolyte Increased Projectile Speed With Marrow Shards And Bone Nova|417|ADDED|AbilityProperty|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46|ADDED|AbilityProperty|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46
Acolyte Increased Damage With Rip Blood And Blood Splatter|418|ADDED|AbilityProperty|0.3-0.34|0.35-0.42|0.43-0.5|0.51-0.59|0.6-0.75|0.9-1.1|1.11-1.4|ADDED|AbilityProperty|0.3-0.34|0.35-0.42|0.43-0.5|0.51-0.59|0.6-0.75|0.9-1.1|1.11-1.4
Acolyte Critical Strike Chance For Skeletons And Skeletal Mages|419|ADDED|AbilityProperty|0.01-0.01|0.02-0.02|0.03-0.03|0.03-0.03|0.04-0.05|0.07-0.08|0.09-0.1|ADDED|AbilityProperty|0.01-0.01|0.02-0.02|0.02-0.02|0.03-0.03|0.04-0.05|0.07-0.08|0.09-0.1
Acolyte +1 Skeleton and Increased Skeleton Damage|192|ADDED|AbilityProperty|1-1|1-1|1-1|1-1|1-1|1-1|1-1|ADDED|AbilityProperty|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.5|0.75-0.9|0.91-1.2
Idol Rogue Black Arrows dropped by Dark Quiver and Increased Bow Damage|533||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Black Arrows dropped by Dark Quiver and Increased Bow Damage|534|ADDED|AbilityProperty|2-2|2-2|2-2|2-2|2-2|3-3|4-4|INCREASED|Damage|0.08-0.11|0.12-0.17|0.18-0.23|0.24-0.3|0.31-0.4|0.5-0.65|0.66-0.9
Rogue Max Ballista and Increased Ballista Attack Speed|536|ADDED|AbilityProperty|1-1|1-1|1-1|1-1|1-1|2-2|2-2|ADDED|AbilityProperty|0.08-0.11|0.12-0.15|0.16-0.19|0.21-0.24|0.25-0.3|0.35-0.4|0.41-0.48
Rogue Mirages and Mana Efficiency with Lethal Mirage|537|ADDED|AbilityProperty|1-1|1-1|1-1|1-1|1-1|2-2|2-2|ADDED|AbilityProperty|0.1-0.13|0.14-0.17|0.18-0.21|0.22-0.25|0.26-0.3|0.38-0.46|0.47-0.6
Block Chance and Effectiveness|426|ADDED|BlockChance|0.01-0.01|0.02-0.02|0.02-0.02|0.02-0.02|0.03-0.03|0.04-0.04|0.04-0.04|ADDED|BlockEffectiveness|30-50|51-80|81-120|101-150|151-220|270-350|450-600
Primalist Level of Swipe|539|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Wolf|540|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Tornado|541|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Primalist Level of Fury Leap|542|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Thorn Totem|543|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Spriggan|544|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Frenzy Totem|545|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Health|0.1-0.2|0.21-0.4|0.41-0.6|0.61-0.8|0.81-1.2|1.42-1.6|1.61-2
Mage Level of Elemental Nova|546|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Mana Strike|547|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Fireball Pierce Chance|548|ADDED|AbilityProperty|0.12-0.19|0.2-0.27|0.28-0.35|0.36-0.45|0.46-0.6|0.65-0.79|0.8-1|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Fireball|549|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Level of Glacier|550|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Level of Meteor|551|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Level of Teleport|552|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|5-8|9-12|13-16|17-20|21-25|30-34|35-40
Mage Level of Volcanic Orb|553|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Black Hole|554|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Bear|555|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Static Orb|556|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Lightning Blast|557|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Serpent Strike|558|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Entangling Roots|559|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Anomaly|560|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Warpath|561|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Devouring Orb|562|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Rive|563|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Hammer Throw|564|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Shield Rush|565|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Volatile Reversal|566|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Abyssal Echoes|567|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Erasing Strike|568|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Vengeance|569|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Shield Throw|570|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Summon Skeleton|572|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Acolyte Level of Infernal Shade|573|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Sacrifice|574|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Focus|575|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|5-8|9-12|13-16|17-20|21-25|30-34|35-40
Acolyte Level of Aura Of Decay|576|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|PoisonResistance|0.03-0.06|0.07-0.11|0.12-0.17|0.18-0.23|0.24-0.3|0.4-0.5|0.51-0.6
Acolyte Level of Hungering Souls|577|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Rip Blood|578|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Summon Wraith|579|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Acolyte Level of Summon Bone Golem|580|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Armour|10-30|31-80|81-160|161-320|321-500|800-1200|1201-2000
Acolyte Level of Wandering Spirits|581|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Acolyte Level of Marrow Shards|582|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Transplant|583|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Flame Reave|584|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Primalist Level of Summon Storm Totem|585|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Soul Feast|586|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Level of Snap Freeze|587|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|5-8|9-12|13-16|17-20|21-25|30-34|35-40
Sentinel Level of Lunge|588|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Rebuke|589|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Armour|0.03-0.05|0.06-0.1|0.11-0.15|0.16-0.2|0.21-0.28|0.3-0.34|0.35-0.4
Primalist Level of Summon Sabertooth|590|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Scorpion|591|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Ring Of Shields|592|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Health|0.1-0.2|0.21-0.4|0.41-0.6|0.61-0.8|0.81-1.2|1.42-1.6|1.61-2
Acolyte Level of Harvest|594|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Eterra's Blessing|595|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|8-12|13-18|19-24|25-30|31-38|45-51|52-60
Sentinel Level of Judgement|596|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|IncreasedHealing|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Shatter Strike|597|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Level of Enchant Weapon|598|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Avalanche|599|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Sigils Of Hope|600|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|5-8|9-12|13-16|17-20|21-25|30-34|35-40
Sentinel Level of Holy Aura|601|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|5-8|9-12|13-16|17-20|21-25|30-34|35-40
Primalist Level of Werebear Form|602|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Smite|603|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Manifest Armor|604|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Sentinel Level of Forge Strike|605|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Primalist Level of Spriggan Form|606|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Reaper Form|607|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Health|5-12|13-19|20-27|28-37|38-50|60-70|71-85
Rogue Level of Acid Flask|608|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|AttackSpeed|0.03-0.04|0.05-0.06|0.07-0.09|0.1-0.12|0.13-0.16|0.2-0.24|0.25-0.3
Rogue Level of Shadow Cascade|609|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Rogue Level of Flurry|610|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|DodgeRating|5-12|13-19|20-27|28-37|38-50|60-70|71-85
Rogue Level of Shurikens|611|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Dancing Strikes|612|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Multishot|613|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Puncture|614|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Decoy|615|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Cinder Strike|616|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Detonating Arrow|617|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Rogue Level of Hail of Arrows|618|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Rogue Level of Shift|619|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|8-12|13-18|19-24|25-30|31-38|45-51|52-60
Rogue Level of Synchronized Strike|620|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Tempest Strike|621|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|8-12|13-18|19-24|25-30|31-38|45-51|52-60
Primalist Level of Ice Thorns|622|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Acolyte Level of Summon Skeletal Mage|623|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Static|624|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Disintegrate|625|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Maelstrom|626|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Primalist Level of Summon Raptor|627|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Mage Level of Flame Ward|628|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|WardRetention|0.05-0.1|0.11-0.16|0.17-0.23|0.24-0.31|0.32-0.4|0.5-0.6|0.61-0.75
Primalist Level of Earthquake|629|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|IncreasedStunDuration|0.03-0.05|0.06-0.08|0.09-0.12|0.13-0.16|0.17-0.22|0.25-0.3|0.31-0.4
Mage Level of Arcane Ascendance|630|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|8-12|13-18|19-24|25-30|31-38|45-51|52-60
Sentinel Level of Smelter's Wrath|631|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Drain Life|632|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Acolyte Level of Assemble Abomination|633|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Health|0.1-0.2|0.21-0.4|0.41-0.6|0.61-0.8|0.81-1.2|1.42-1.6|1.61-2
Acolyte Level of Spirit Plague|634|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
