AffixName|AffixID|AffixTitle|canRollOn|rerollChance|T1|T2|T3|T4|T5|T6|T7|Type|HueShift|Saturation|Group
Mage Chance To Cast Fire Aura On Kill With A Fire Skill|398||HELMET,BODY_ARMOR|0.89|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.14|0.18-0.22|0.23-0.28|PREFIX|0|0|OffensiveAbility
Mage Chance to Apply a Spark Charge on Melee Hit|399||HELMET|0.89|0.08-0.1|0.11-0.13|0.14-0.16|0.17-0.19|0.2-0.24|0.28-0.34|0.35-0.44|PREFIX|0.678|-0.314|OffensiveAbility
Mage Mana Spent Gained as Ward|400||HELMET,BODY_ARMOR|0.89|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.5|0.6-0.75|0.76-1|PREFIX|0.652|0|Hybrid
Acolyte Physical Damage While Transformed|401||HELMET,BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.9|1.1-1.3|1.31-1.6|PREFIX|0.097|0.829|OffensiveIncrease
Acolyte Necrotic Damage While Transformed|402||HELMET,BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.9|1.1-1.3|1.31-1.6|PREFIX|0.493|-0.029|PassiveDefense
Idol Sentinel Increased Void Damage Over Time|403|of Decay|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.33-0.9|||||||SUFFIX|0|0|PassiveDefense
Acolyte Shared Increased Fire Damage|404||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.41|0.42-0.46|0.47-0.6|0.7-0.85|0.86-1.1|PREFIX|0.068|0.04|Hybrid
Acolyte Shared Increased Necrotic Damage|405||HELMET,BODY_ARMOR|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|PREFIX|0.478|-0.08|Hybrid
Acolyte Shared Bleed Chance|406||BODY_ARMOR,HELMET|0.89|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.45|0.55-0.65|0.66-0.85|PREFIX|0.024|-0.04|Hybrid
Acolyte Shared Increased Bleed Duration|407||HELMET,BODY_ARMOR|0.89|0.16-0.17|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.28|0.34-0.4|0.41-0.5|PREFIX|0.014|-0.61|Hybrid
Acolyte Shared Physical Penetration With Bleed|408||HELMET,BODY_ARMOR|0.89|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.23|0.28-0.34|0.35-0.42|PREFIX|1|0.01|Hybrid
Acolyte Shared Physical Leech|409||HELMET,BODY_ARMOR|0.89|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.18|0.22-0.28|0.29-0.36|PREFIX|0.089|0.821|ActiveDefense
Acolyte Increased Skeletal Mage Damage|410||BODY_ARMOR,HELMET|0.89|0.25-0.38|0.39-0.52|0.53-0.66|0.67-0.8|0.81-0.95|1.15-1.4|1.41-1.8|PREFIX|0.478|-0.371|OffensiveIncrease
Acolyte Mana Gained On Harvest Use|411||BODY_ARMOR|0.89|5-6|7-8|9-10|11-12|13-15|19-23|24-28|PREFIX|0.782|-0.207|Hybrid
Acolyte Leech With Harvest|412||HELMET,BODY_ARMOR|0.89|0.12-0.16|0.17-0.21|0.22-0.26|0.27-0.31|0.32-0.4|0.48-0.6|0.61-0.75|PREFIX|0.973|0.614|ActiveDefense
Acolyte Minion Reflect|413||HELMET,BODY_ARMOR|0.89|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.11|0.14-0.17|0.18-0.22|PREFIX|0.929|0.557|Retaliation
Acolyte Poison Damage And Poison Resistance|414||HELMET,BODY_ARMOR|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|PREFIX|0.325|-0.28|Hybrid
Acolyte Chance To Gain 20 Ward On Kill With Hungering Souls|415||HELMET,BODY_ARMOR|0.89|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.8-0.89|0.9-1|PREFIX|0.518|0.671|PassiveDefense
Acolyte Shared Increased Crit Chance|416||HELMET,BODY_ARMOR|0.89|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.8|1-1.2|1.21-1.5|PREFIX|0.252|-0.88|Hybrid
Acolyte Increased Projectile Speed With Marrow Shards And Bone Nova|417||BODY_ARMOR|0.89|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46|PREFIX|0.857|-0.407|OffensiveAbility
Acolyte Increased Damage With Rip Blood And Blood Splatter|418||HELMET,BODY_ARMOR|0.89|0.3-0.34|0.35-0.42|0.43-0.5|0.51-0.59|0.6-0.75|0.9-1.1|1.11-1.4|PREFIX|0.025|0.878|OffensiveAbility
Acolyte Critical Strike Chance For Skeletons And Skeletal Mages|419||HELMET,BODY_ARMOR|0.89|0.01-0.01|0.02-0.02|0.03-0.03|0.03-0.03|0.04-0.05|0.07-0.08|0.09-0.1|PREFIX|0.182|0.679|OffensiveAbility
Acolyte Spell Damage Per Skeletal Mage|420||HELMET,BODY_ARMOR|0.89|0.14-0.16|0.17-0.19|0.2-0.22|0.23-0.25|0.26-0.33|0.4-0.5|0.51-0.65|PREFIX|0.657|0.393|OffensiveAddition
Acolyte Chance To Apply Damned On Hit|421||HELMET,BODY_ARMOR|0.89|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|PREFIX|0.8|0.5|PassiveDefense
Acolyte Damage Leeched As Health While Transformed|422||HELMET,BODY_ARMOR|0.89|0.12-0.16|0.17-0.21|0.22-0.26|0.27-0.31|0.32-0.4|0.48-0.6|0.61-0.75|PREFIX|0.032|0.422|ActiveDefense
Acolyte Reduced Health Cost Of Spells|423||HELMET|0.89|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.27|0.28-0.33|0.4-0.5|0.51-0.65|PREFIX|0.85|-0.243|Hybrid
Acolyte Physical Spell Critical Strike Chance|424||HELMET,BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|PREFIX|0.197|-0.471|OffensiveIncrease
Endurance Threshold|425|of Stamina|GLOVES,HELMET,BELT,RING,RELIC|0.15|20-26|27-35|36-45|46-55|56-75|100-140|141-185|SUFFIX|0.947|-0.63|PassiveDefense
Block Chance and Effectiveness|426|of Blocking|RING,GLOVES|0.2|0.01-0.01|0.02-0.02|0.02-0.02|0.02-0.02|0.03-0.03|0.04-0.04|0.04-0.04|SUFFIX|0.128|-0.15|PassiveDefense
Less Bonus Damage Taken from Critical Strikes|427|of Impunity|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD|0|0.35-0.43|0.44-0.53|0.54-0.66|0.67-0.8|0.81-1|1-1|1-1|SUFFIX|0.272|-0.6|PassiveDefense
Melee Frailty Chance|428|of Suppression|ONE_HANDED_AXE,ONE_HANDED_MACES,ONE_HANDED_SWORD,ONE_HANDED_DAGGER,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SWORD,TWO_HANDED_SPEAR|0|0.35-0.4|0.41-0.5|0.51-0.6|0.61-0.7|0.71-0.85|1.05-1.3|1.31-1.7|SUFFIX|0.383|-0.537|ActiveDefense
Frailty Chance|429|of Frailty|AMULET,RELIC,GLOVES|0|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.27|0.28-0.35|0.44-0.55|0.56-0.7|SUFFIX|0.403|-0.793|ActiveDefense
Idol Physical Resistance|430|of Deflection|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Increased Bow Damage|431|Ranger's|BOW,CROSSBOW,QUIVER|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.248|-0.35|OffensiveIncrease
Increased Bow Attack Speed|432|Swift|BOW,CROSSBOW,QUIVER|0|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.15|0.18-0.23|0.24-0.3|PREFIX|0.127|-0.56|OffensiveIncrease
Added Bow Physical Damage|433|Honed|BOW,CROSSBOW,QUIVER|0|2-3|4-5|6-7|8-9|10-12|15-19|20-24|PREFIX|0.053|-0.17|PassiveDefense
Added Bow Fire Damage|434|Pillager's|BOW,CROSSBOW,QUIVER|0.5|2-3|4-5|6-7|8-9|10-12|15-19|20-24|PREFIX|0.028|0.17|PassiveDefense
Acolyte Chance To Cast Marrow Shards When You Cast Transplant|435||HELMET,BODY_ARMOR|0.89|0.05-0.07|0.08-0.15|0.16-0.25|0.26-0.3|0.31-0.4|0.55-0.75|0.76-1|PREFIX|0.05|0.169|OffensiveAbility
Idol Rogue Ward Gained when you create a Shadow|436|of Obscurity|IDOL_1x3,IDOL_1x4|0|5-15|||||||SUFFIX|0|0|PassiveDefense
Rogue Ward Gained when you create a Shadow|437||HELMET,BODY_ARMOR|0.89|16-20|21-25|26-30|31-37|38-50|65-85|86-110|PREFIX|0.685|-0.15|ActiveDefense
Idol Rogue Increased Damage of Shadows|438|of Shadows|IDOL_1x3,IDOL_1x4|0|0.25-0.6|||||||SUFFIX|0|0|PassiveDefense
Rogue Increased Damage of Shadows|439||HELMET,BODY_ARMOR|0.89|0.41-0.5|0.51-0.6|0.61-0.7|0.71-0.8|0.81-1|1.35-1.8|1.81-2.4|PREFIX|0.798|0.122|OffensiveIncrease
Rogue Health Gained on Glancing Blow|440||HELMET,BODY_ARMOR|0.89|6-7|8-9|10-11|12-13|14-18|23-28|29-36|PREFIX|0.976|-0.103|PassiveDefense
Idol Rogue Dodge Rating if Hit Recently|441|of Escape|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|50-120|||||||SUFFIX|0|0|PassiveDefense
Rogue Dodge Rating if Hit Recently|442||HELMET,BODY_ARMOR|0.89|60-72|73-85|86-100|101-120|121-160|210-270|271-360|PREFIX|0.174|0.047|PassiveDefense
Rogue Crimson Shroud Chance on Melee Hit|443||BODY_ARMOR|0.89|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.28|0.29-0.35|0.44-0.55|0.56-0.7|PREFIX|0.019|0.075|ActiveDefense
Idol Rogue Bow Attack Speed for 3 seconds when you use a Bow Attack|444|Tense|IDOL_2x2|0|0.07-0.21|||||||PREFIX|0|0|PassiveDefense
Idol Rogue Increased Critical Strike Chance per Equipped Sword|445|Duellist's|IDOL_3x1|0|0.2-0.55|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Critical Strike Chance per Equipped Sword|446||BODY_ARMOR|0.89|0.31-0.35|0.36-0.4|0.41-0.45|0.46-0.5|0.51-0.6|0.75-0.95|0.96-1.2|PREFIX|0.887|-0.108|OffensiveIncrease
Idol Rogue Increased Critical Strike Chance per Equipped Dagger|447|Ferret's|IDOL_4x1|0|0.2-0.55|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Critical Strike Chance per Equipped Dagger|448||HELMET|0.89|0.31-0.35|0.36-0.4|0.41-0.45|0.46-0.5|0.51-0.6|0.75-0.95|0.96-1.2|PREFIX|0.906|-0.108|OffensiveIncrease
Rogue Chance to gain Dusk Shroud When Hit|449||BODY_ARMOR|0.89|0.12-0.16|0.17-0.21|0.22-0.26|0.27-0.32|0.33-0.4|0.5-0.6|0.61-0.8|PREFIX|0.54|0.047|PassiveDefense
Idol Rogue Bleed Chance per Equipped Sword|450|Gutting|IDOL_2x2|0|0.13-0.35|||||||PREFIX|0|0|PassiveDefense
Rogue Bleed Chance per Equipped Sword|451||BODY_ARMOR|0.89|0.31-0.35|0.36-0.4|0.41-0.45|0.46-0.5|0.51-0.6|0.75-0.95|0.96-1.2|PREFIX|0.014|0.038|OffensiveAddition
Idol Rogue Poison Chance per Equipped Dagger|452|Cobra's|IDOL_2x2|0|0.13-0.35|||||||PREFIX|0|0|PassiveDefense
Rogue Poison Chance per Equipped Dagger|453||HELMET|0.89|0.18-0.2|0.21-0.23|0.24-0.27|0.28-0.32|0.33-0.4|0.5-0.65|0.66-0.85|PREFIX|0.267|0.038|OffensiveAddition
Rogue Dusk Shroud Chance on Melee Hit|454||BODY_ARMOR|0.89|0.17-0.21|0.22-0.26|0.27-0.31|0.32-0.36|0.37-0.45|0.55-0.7|0.71-0.9|PREFIX|0.732|-0.075|ActiveDefense
Idol Rogue Health Gained on Dodge|455|of the Dance|IDOL_1x3,IDOL_1x4|0|5-12|||||||SUFFIX|0|0|PassiveDefense
Idol Rogue Critical Strike Multiplier while dual wielding|456|Twinned|IDOL_3x1|0|0.12-0.3|||||||PREFIX|0|0|PassiveDefense
Rogue Added Physical Throwing Damage while dual wielding|457||HELMET|0.89|5-6|7-8|9-10|11-13|14-17|22-26|27-34|PREFIX|0.094|-0.578|OffensiveAddition
Idol Rogue Increased damage while wielding a sword|458|of Fencing|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Rogue Increased damage while wielding a sword|459||HELMET,BODY_ARMOR|0.89|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|PREFIX|0.15|0.028|OffensiveIncrease
Idol Rogue Increased damage while wielding a dagger|460|of Dagger Mastery|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Rogue Increased damage while wielding a dagger|461||HELMET,BODY_ARMOR|0.89|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|PREFIX|0.211|0.009|OffensiveIncrease
Idol Rogue Increased damage while wielding a bow|462|of Bow Mastery|IDOL_1x3,IDOL_1x4|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Rogue Increased damage while wielding a bow|463||HELMET,BODY_ARMOR|0.89|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|PREFIX|0.145|0.047|OffensiveIncrease
Idol Rogue Physical Penetration while wielding a dagger|464|Impaling|IDOL_1x4|0|0.04-0.09|||||||PREFIX|0|0|PassiveDefense
Idol Rogue Fire Penetration while wielding a dagger|465|Duneforged|IDOL_1x4|0|0.04-0.09|||||||PREFIX|0|0|PassiveDefense
Idol Rogue Increased Physical Damage over Time|466|of Blood Loss|IDOL_1x3,IDOL_1x4|0|0.33-0.9|||||||SUFFIX|0|0|PassiveDefense
Idol Rogue Fire Penetration With Ignite|467|Searing|IDOL_4x1|0|0.09-0.16|||||||PREFIX|0|0|PassiveDefense
Rogue Fire Penetration With Ignite|468||HELMET,BODY_ARMOR|0.89|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.12|0.13-0.16|0.2-0.24|0.25-0.3|PREFIX|0.051|0.042|OffensiveIncrease
Rogue Increased Poison Duration|469||HELMET|0.89|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.12|0.13-0.16|0.2-0.24|0.25-0.3|PREFIX|0.352|0.085|OffensiveIncrease
Idol Rogue Increased Throwing Physical Damage|470|of the Swallow|IDOL_1x4|0|0.22-0.6|||||||SUFFIX|0|0|PassiveDefense
Rogue Increased Throwing Physical Damage|471||HELMET,BODY_ARMOR|0.89|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|PREFIX|0.592|-0.757|PassiveDefense
Idol Rogue Chance to Shred Armour on Throwing Hit|472|Skirmisher's|IDOL_1x3|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Rogue Chance to Shred Armour on Throwing Hit|473||BODY_ARMOR|0.89|0.31-0.4|0.41-0.5|0.51-0.6|0.61-0.75|0.76-1|1.35-1.8|1.81-2.4|PREFIX|0.657|-0.737|OffensiveAddition
Idol Rogue Chance to Shred Armour on Melee Hit|474|Dismantling|IDOL_1x3|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Rogue Chance to Shred Armour on Melee Hit|475||BODY_ARMOR|0.89|0.31-0.4|0.41-0.5|0.51-0.6|0.61-0.75|0.76-1|1.35-1.8|1.81-2.4|PREFIX|0.098|-0.324|OffensiveAddition
Idol Rogue Chance to Shred Armour on Bow Hit|476|Hawk's|IDOL_1x3|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Rogue Chance to Shred Armour on Bow Hit|477||HELMET|0.89|0.31-0.4|0.41-0.5|0.51-0.6|0.61-0.75|0.76-1|1.35-1.8|1.81-2.4|PREFIX|0.451|-0.709|OffensiveAddition
Idol Rogue Armour Shred Effect|478|of Corrosion|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.3-0.9|||||||SUFFIX|0|0|PassiveDefense
Rogue Armour Shred Effect|479||BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.2-1.5|1.51-1.9|PREFIX|0.071|-0.145|OffensiveIncrease
Idol Rogue Increased Armour Shred Duration|480|of Crumbling|IDOL_1x3,IDOL_1x4|0|0.4-1|||||||SUFFIX|0|0|PassiveDefense
Rogue Increased Armour Shred Duration|481||HELMET|0.89|0.5-0.6|0.61-0.72|0.73-0.85|0.86-1|1.01-1.2|1.5-1.9|1.91-2.4|PREFIX|0.746|-0.822|OffensiveIncrease
Idol Rogue Chance to Ignite on Bow Hit|482|Raider's|IDOL_3x1|0|0.15-0.35|||||||PREFIX|0|0|PassiveDefense
Rogue Chance to Ignite on Bow Hit|483||HELMET|0.89|0.15-0.17|0.18-0.2|0.21-0.24|0.25-0.28|0.29-0.35|0.44-0.55|0.56-0.7|PREFIX|0.063|-0.123|OffensiveAddition
Idol Rogue Chance to Slow on Bow Hit|484|of Tar|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.1-0.21|||||||SUFFIX|0|0|PassiveDefense
Rogue Chance to Slow on Bow Hit|485||HELMET|0.89|0.15-0.17|0.18-0.2|0.21-0.24|0.25-0.28|0.29-0.35|0.44-0.55|0.56-0.7|PREFIX|0.683|-0.597|ActiveDefense
Idol Rogue Physical Penetration With Shadow Daggers|486|Widowing|IDOL_1x3|0|0.16-0.36|||||||PREFIX|0|0|PassiveDefense
Rogue Physical Penetration With Shadow Daggers|487||HELMET,BODY_ARMOR|0.89|0.13-0.17|0.18-0.22|0.23-0.27|0.28-0.32|0.33-0.45|0.6-0.77|0.78-1|PREFIX|0.742|-0.259|OffensiveIncrease
Idol Rogue Increased Bow Elemental Damage|488|Devastating|IDOL_4x1|0|0.2-0.5|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Bow Elemental Damage|489||HELMET|0.89|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|PREFIX|0.944|0.108|OffensiveIncrease
Idol Rogue Increased Throwing Damage|490|of the Catapult|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Rogue Increased Bow Damage|491|of the Ranger|IDOL_1x3,IDOL_1x4|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Rogue Increased Bow Critical Strike Chance|492|of the Eagle|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.24-0.65|||||||SUFFIX|0|0|PassiveDefense
Idol Rogue Chance to Bleed on Bow Hit|493|of Barbs|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.15-0.35|||||||SUFFIX|0|0|PassiveDefense
Rogue Chance to Bleed on Bow Hit|494||HELMET,BODY_ARMOR|0.89|0.15-0.17|0.18-0.2|0.21-0.24|0.25-0.28|0.29-0.35|0.44-0.55|0.56-0.7|PREFIX|0.986|-0.024|OffensiveAddition
Idol Rogue Increased Area with Cinder Strike's First Attack|495|Firekeeper's|IDOL_3x1|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Area with Cinder Strike's First Strike|496||HELMET|0.89|0.15-0.17|0.19-0.22|0.23-0.27|0.28-0.32|0.33-0.4|0.5-0.6|0.61-0.8|PREFIX|0.042|0.067|OffensiveAbility
Idol Rogue Increased crit chance with Flurry|497|Hummingbird's|IDOL_1x3|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Rogue Increased crit chance with Flurry|498||HELMET,BODY_ARMOR|0.89|0.36-0.4|0.41-0.45|0.46-0.55|0.56-0.65|0.66-0.8|1-1.25|1.26-1.6|PREFIX|0.161|-0.381|OffensiveAbility
Idol Rogue Physical penetration with Puncture|499|Heron's|IDOL_1x4|0|0.05-0.12|||||||PREFIX|0|0|PassiveDefense
Rogue Physical penetration with Puncture|500||BODY_ARMOR|0.89|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.14|0.17-0.2|0.21-0.25|PREFIX|0.986|-0.503|OffensiveAbility
Strength|501|Mighty|HELMET,BODY_ARMOR,BOOTS,RING,GLOVES,RELIC|0|1-1|2-2|3-4|5-6|7-8|10-12|13-16|PREFIX|0|0|DefensiveAbility
Intelligence|502|Scholar's|HELMET,BODY_ARMOR,BOOTS,RING,GLOVES,RELIC|0|1-1|2-2|3-4|5-6|7-8|10-12|13-16|PREFIX|0.56|0.15|DefensiveAbility
Dexterity|503|Dexterous|HELMET,BODY_ARMOR,BOOTS,RING,GLOVES,RELIC,QUIVER|0.7|1-1|2-2|3-4|5-6|7-8|10-12|13-16|PREFIX|0.339|0|DefensiveAbility
Attunement|504|Attuned|HELMET,BODY_ARMOR,BOOTS,RING,GLOVES,RELIC|0.3|1-1|2-2|3-4|5-6|7-8|10-12|13-16|PREFIX|0.072|0|DefensiveAbility
Vitality|505|Vital|HELMET,BODY_ARMOR,BOOTS|0|1-1|2-2|3-4|5-6|7-8|10-12|13-16|PREFIX|0.791|0|DefensiveAbility
Spell Damage and Reduced Mana Cost|506|Spellslinger's|ONE_HANDED_SCEPTRE|0|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.6-0.75|0.76-1|PREFIX|0.562|0|Hybrid
Throwing Damage and Reduced Mana Cost|507|Ballista's|RING|0.15|3-4|5-6|7-8|9-10|11-13|17-21|22-26|PREFIX|0.096|0|Hybrid
Idol Rogue Increased Area with Detonating Arrow|508|Detonating|IDOL_3x1|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Area with Detonating Arrow|509||HELMET,BODY_ARMOR|0.89|0.15-0.17|0.19-0.22|0.23-0.27|0.28-0.32|0.33-0.4|0.5-0.6|0.61-0.8|PREFIX|0.587|-0.098|OffensiveAbility
Idol Rogue Increased damage per arrow with Multishot|510|Hydra's|IDOL_4x1|0|0.03-0.06|||||||PREFIX|0|0|PassiveDefense
Rogue Increased damage per arrow with Multishot|511||HELMET,BODY_ARMOR|0.89|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.1|0.12-0.15|0.16-0.2|PREFIX|0.3|-0.124|OffensiveAbility
Idol Rogue Increased duration with Hail of Arrows|512|Eclipsing|IDOL_1x3|0|0.1-0.22|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Hail of Arrows Duration|513||HELMET|0.89|0.11-0.13|0.14-0.16|0.17-0.19|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|PREFIX|0.671|-0.475|OffensiveAbility
Idol Rogue Damage per Shadow with Shadow Cascade|514|Cascading|IDOL_1x4|0|0.1-0.28|||||||PREFIX|0|0|PassiveDefense
Rogue Increased damage per active Shadow with Shadow Cascade|515||HELMET,BODY_ARMOR|0.89|0.12-0.14|0.15-0.17|0.18-0.2|0.21-0.23|0.24-0.3|0.38-0.46|0.47-0.6|PREFIX|0.638|-0.644|OffensiveAbility
Idol Rogue Bleed chance with Shurikens|516|Razor|IDOL_2x2|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Rogue Bleed Chance with Shurikens|517||HELMET,BODY_ARMOR|0.89|0.15-0.17|0.19-0.22|0.23-0.27|0.28-0.32|0.33-0.4|0.5-0.6|0.61-0.8|PREFIX|0.973|-0.065|OffensiveAbility
Idol Rogue Lightning Damage with Shurikens|518|Storm Thrower's|IDOL_1x4|0|4-8|||||||PREFIX|0|0|PassiveDefense
Rogue Lightning Damage with Shurikens|519||BODY_ARMOR,HELMET|0.89|6-8|9-11|12-15|16-19|20-27|32-37|38-44|PREFIX|0.587|-0.14|OffensiveAbility
Idol Rogue Increased Acid Flask Area|520|Eroding|IDOL_1x3|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Acid Flask Area|521||HELMET,BODY_ARMOR|0.89|0.05-0.1|0.11-0.15|0.16-0.2|0.21-0.25|0.26-0.3|0.38-0.46|0.47-0.6|PREFIX|0.277|0.116|OffensiveAbility
Idol Rogue Chance to Summon A Bee with Acid Flask|522|Stinging|IDOL_1x4|0.9|0.1-0.28|||||||PREFIX|0|0|PassiveDefense
Idol Rogue Increased Dancing Strikes Area|523|Flanking|IDOL_3x1|0|0.14-0.35|||||||PREFIX|0|0|PassiveDefense
Rogue Increased Dancing Strikes Area|524||HELMET|0.89|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.27|0.28-0.35|0.44-0.55|0.56-0.7|PREFIX|0.904|-0.111|OffensiveAbility
Idol Rogue Mana Efficiency with Synchronised Strike|525|Synchronized|IDOL_1x4|0|0.08-0.16|||||||PREFIX|0|0|PassiveDefense
Rogue Mana efficiency with Synchronised Strike|526||HELMET,BODY_ARMOR|0.89|0.07-0.08|0.09-0.1|0.11-0.12|0.13-0.15|0.16-0.2|0.24-0.3|0.31-0.4|PREFIX|0.568|-0.437|OffensiveAbility
Idol Rogue Mana efficiency with Decoy|527|Distracting|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.08-0.16|||||||SUFFIX|0|0|PassiveDefense
Rogue Mana efficiency with Decoy|528||HELMET,BODY_ARMOR|0.89|0.07-0.08|0.09-0.1|0.11-0.12|0.13-0.15|0.16-0.2|0.24-0.3|0.31-0.4|PREFIX|0.578|0.008|DefensiveAbility
Idol Rogue Ward gained on use with Smoke Bomb|529|Concealing|IDOL_1x3|0|22-60|||||||PREFIX|0|0|PassiveDefense
Rogue Ward gained on use with Smoke Bomb|530||HELMET,BODY_ARMOR|0.89|25-29|30-35|36-45|46-55|56-70|90-110|111-145|PREFIX|0.479|-0.724|DefensiveAbility
Idol Rogue Ward gained on use with Shift|531|of Shifting|IDOL_1x3,IDOL_1x4|0|17-45|||||||SUFFIX|0|0|PassiveDefense
Rogue Ward gained on use with Shift|532||HELMET,BODY_ARMOR|0.89|16-20|21-25|26-30|31-40|41-50|65-80|81-100|PREFIX|0.526|-0.818|DefensiveAbility
Idol Rogue Black Arrows dropped by Dark Quiver and Increased Bow Damage|533|Dragon Slayer's|IDOL_4x1|0|2-2|||||||PREFIX|0|0|PassiveDefense
Rogue Black Arrows dropped by Dark Quiver and Increased Bow Damage|534||BODY_ARMOR|0.89|2-2|2-2|2-2|2-2|2-2|3-3|4-4|PREFIX|0.662|-0.272|OffensiveAbility
Idol Rogue Added Physical damage for Ballistae|535|Carpenter's|IDOL_2x2|0|4-10|||||||PREFIX|0|0|PassiveDefense
Rogue Max Ballista and Increased Ballista Attack Speed|536||BODY_ARMOR|0.89|1-1|1-1|1-1|1-1|1-1|2-2|2-2|PREFIX|0.112|-0.493|OffensiveAbility
Rogue Mirages and Mana Efficiency with Lethal Mirage|537||BODY_ARMOR|0.89|1-1|1-1|1-1|1-1|1-1|2-2|2-2|PREFIX|0.633|-0.14|OffensiveAbility
